tool_name,route,category,registry_status,indexable,sitemap_included,navigation_discoverable,category_discoverable,search_discoverable,functional_status,verification_status,tested_inputs,expected_output,actual_output,output_verified,desktop_status,mobile_status,accessibility_status,privacy_model,external_dependencies,known_limitations,gsc_impressions,gsc_clicks,gsc_position,demand_status,correctness_score,demand_score,differentiation_score,strategic_fit_score,maintainability_score,total_score,recommendation,highest_defect_severity,defect_summary,evidence,recommended_seo_action,recommended_product_action,original_defect,resolution_status,remediation_files,remediation_tests,remediation_evidence,post_remediation_recommendation,remaining_risks
Loan Calculator,/calc/loan,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"$25k, 6.5%, 5y; $1,200, 0%, 1y; negative rate; decimal term",Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: Zero-rate expected $100/mo → $100.00; standard amortization matches independent formula. Typed negative rates are not rejected in calculation.,Observed browser/source result and audit comparison: Zero-rate expected $100/mo → $100.00; standard amortization matches independent formula. Typed negative rates are not rejected in calculation.,TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,Zero-rate expected $100/mo → $100.00; standard amortization matches independent formula. Typed negative rates are not rejected in calculation.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,UNKNOWN,10,11,8,UNKNOWN,FIX,P3,Zero-rate expected $100/mo → $100.00; standard amortization matches independent formula. Typed negative rates are not rejected in calculation.,reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; Zero-rate expected $100/mo → $100.00; standard amortization matches independent formula. Typed negative rates are not rejected in calculation.,Do not promote this sensitive estimate; retain its current URL only while negative-rate/domain guards and lending-estimate assumptions are completed and reviewed through normal SEO governance.,Repair the public boundary and evidence for negative-rate/domain guards and lending-estimate assumptions; keep clear estimate-only limitations and regression coverage before any promotion.,Zero-rate expected $100/mo → $100.00; standard amortization matches independent formula. Typed negative rates are not rejected in calculation.,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,Zero-rate expected $100/mo → $100.00; standard amortization matches independent formula. Typed negative rates are not rejected in calculation.
Auto Loan Calculator,/calc/auto-loan,calc,live,YES,YES,YES,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,price/down/trade/rate/term; 0%; negative equity scenario; zero financed,"Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: Standard payment on price - down - trade is correct. It omits sales tax/fees and trade loan payoff, despite adjacent copy implying negative equity is addressed.","Observed browser/source result and audit comparison: Standard payment on price - down - trade is correct. It omits sales tax/fees and trade loan payoff, despite adjacent copy implying negative equity is addressed.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"Standard payment on price - down - trade is correct. It omits sales tax/fees and trade loan payoff, despite adjacent copy implying negative equity is addressed.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,24,UNKNOWN,13,14,7,UNKNOWN,FIX,P2,"Standard payment on price - down - trade is correct. It omits sales tax/fees and trade loan payoff, despite adjacent copy implying negative equity is addressed.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; Standard payment on price - down - trade is correct. It omits sales tax/fees and trade loan payoff, despite adjacent copy implying negative equity is addressed.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: Standard payment on price - down - trade is correct. It omits sales tax/fees and trade loan payoff, despite adjacent copy implying negative equity is addressed.","Standard payment on price - down - trade is correct. It omits sales tax/fees and trade loan payoff, despite adjacent copy implying negative equity is addressed.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,"Standard payment on price - down - trade is correct. It omits sales tax/fees and trade loan payoff, despite adjacent copy implying negative equity is addressed."
Credit Card Payoff Calculator,/calc/credit-card-payoff,calc,live,YES,YES,YES,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"$1,000, 0%, $100; default interest; payment at/below interest; just above interest; >600 months","Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: 0% payoff 10 months → 10 months; normal simulation passes. $5,000, 22%, $91.6667 still owes about $4,901.46 after 600 months, but returns ok at the hard cap as if paid off.","Observed browser/source result and audit comparison: 0% payoff 10 months → 10 months; normal simulation passes. $5,000, 22%, $91.6667 still owes about $4,901.46 after 600 months, but returns ok at the hard cap as if paid off.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"0% payoff 10 months → 10 months; normal simulation passes. $5,000, 22%, $91.6667 still owes about $4,901.46 after 600 months, but returns ok at the hard cap as if paid off.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,23,UNKNOWN,15,15,7,UNKNOWN,FIX,P2,"0% payoff 10 months → 10 months; normal simulation passes. $5,000, 22%, $91.6667 still owes about $4,901.46 after 600 months, but returns ok at the hard cap as if paid off.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; 0% payoff 10 months → 10 months; normal simulation passes. $5,000, 22%, $91.6667 still owes about $4,901.46 after 600 months, but returns ok at the hard cap as if paid off.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: 0% payoff 10 months → 10 months; normal simulation passes. $5,000, 22%, $91.6667 still owes about $4,901.46 after 600 months, but returns ok at the hard cap as if paid off.","0% payoff 10 months → 10 months; normal simulation passes. $5,000, 22%, $91.6667 still owes about $4,901.46 after 600 months, but returns ok at the hard cap as if paid off.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,"0% payoff 10 months → 10 months; normal simulation passes. $5,000, 22%, $91.6667 still owes about $4,901.46 after 600 months, but returns ok at the hard cap as if paid off."
Savings Goal Calculator,/calc/savings-goal,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"target $1,200, current 0, 0%, 12 months; positive rate; negative entries",Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: 0% expected $100/mo → $100.00; ordinary-annuity result matches end-of-month contribution recurrence. Interest timing is an assumption; negative inputs are not consistently rejected.,Observed browser/source result and audit comparison: 0% expected $100/mo → $100.00; ordinary-annuity result matches end-of-month contribution recurrence. Interest timing is an assumption; negative inputs are not consistently rejected.,TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,0% expected $100/mo → $100.00; ordinary-annuity result matches end-of-month contribution recurrence. Interest timing is an assumption; negative inputs are not consistently rejected.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,UNKNOWN,11,11,7,UNKNOWN,FIX,P3,0% expected $100/mo → $100.00; ordinary-annuity result matches end-of-month contribution recurrence. Interest timing is an assumption; negative inputs are not consistently rejected.,reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; 0% expected $100/mo → $100.00; ordinary-annuity result matches end-of-month contribution recurrence. Interest timing is an assumption; negative inputs are not consistently rejected.,"Do not promote this sensitive estimate; retain its current URL only while input-domain guards, contribution timing, and estimate-only boundaries are completed and reviewed through normal SEO governance.","Repair the public boundary and evidence for input-domain guards, contribution timing, and estimate-only boundaries; keep clear estimate-only limitations and regression coverage before any promotion.",0% expected $100/mo → $100.00; ordinary-annuity result matches end-of-month contribution recurrence. Interest timing is an assumption; negative inputs are not consistently rejected.,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,0% expected $100/mo → $100.00; ordinary-annuity result matches end-of-month contribution recurrence. Interest timing is an assumption; negative inputs are not consistently rejected.
Retirement Calculator,/calc/retirement,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,current age/retirement age; 0% return; inflation on/off; 4% withdrawal,"Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: Projection recurrence and 4% arithmetic are internally correct under nominal, constant-return assumptions. No fees, taxes, sequence risk, pensions, or probabilistic range; visible estimate/not-advice language is helpful. Qualified financial review required.","Observed browser/source result and audit comparison: Projection recurrence and 4% arithmetic are internally correct under nominal, constant-return assumptions. No fees, taxes, sequence risk, pensions, or probabilistic range; visible estimate/not-advice language is helpful. Qualified financial review required.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"Projection recurrence and 4% arithmetic are internally correct under nominal, constant-return assumptions. No fees, taxes, sequence risk, pensions, or probabilistic range; visible estimate/not-advice language is helpful. Qualified financial review required.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,25,UNKNOWN,13,11,6,UNKNOWN,FIX,P2,"Projection recurrence and 4% arithmetic are internally correct under nominal, constant-return assumptions. No fees, taxes, sequence risk, pensions, or probabilistic range; visible estimate/not-advice language is helpful. Qualified financial review required.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; Projection recurrence and 4% arithmetic are internally correct under nominal, constant-return assumptions. No fees, taxes, sequence risk, pensions, or probabilistic range; visible estimate/not-advice language is helpful. Qualified financial review required.",Do not promote this sensitive estimate; retain its current URL only while qualified financial review and fees/taxes/sequence-risk boundaries are completed and reviewed through normal SEO governance.,Repair the public boundary and evidence for qualified financial review and fees/taxes/sequence-risk boundaries; keep clear estimate-only limitations and regression coverage before any promotion.,"Projection recurrence and 4% arithmetic are internally correct under nominal, constant-return assumptions. No fees, taxes, sequence risk, pensions, or probabilistic range; visible estimate/not-advice language is helpful. Qualified financial review required.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,"Projection recurrence and 4% arithmetic are internally correct under nominal, constant-return assumptions. No fees, taxes, sequence risk, pensions, or probabilistic range; visible estimate/not-advice language is helpful. Qualified financial review required."
Investment Return Calculator,/calc/investment-return,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"$1,000, 0 contribution, 0%, 10y; monthly contribution; negative return","Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: 0% expected $1,000 → $1,000; monthly recurrence passes. Constant return, end-of-month deposits, no fees/taxes/volatility. Qualified financial review required.","Observed browser/source result and audit comparison: 0% expected $1,000 → $1,000; monthly recurrence passes. Constant return, end-of-month deposits, no fees/taxes/volatility. Qualified financial review required.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"0% expected $1,000 → $1,000; monthly recurrence passes. Constant return, end-of-month deposits, no fees/taxes/volatility. Qualified financial review required.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,26,UNKNOWN,11,11,7,UNKNOWN,FIX,P2,"0% expected $1,000 → $1,000; monthly recurrence passes. Constant return, end-of-month deposits, no fees/taxes/volatility. Qualified financial review required.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; 0% expected $1,000 → $1,000; monthly recurrence passes. Constant return, end-of-month deposits, no fees/taxes/volatility. Qualified financial review required.",Do not promote this sensitive estimate; retain its current URL only while qualified financial review and fees/taxes/volatility boundaries are completed and reviewed through normal SEO governance.,Repair the public boundary and evidence for qualified financial review and fees/taxes/volatility boundaries; keep clear estimate-only limitations and regression coverage before any promotion.,"0% expected $1,000 → $1,000; monthly recurrence passes. Constant return, end-of-month deposits, no fees/taxes/volatility. Qualified financial review required.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,"0% expected $1,000 → $1,000; monthly recurrence passes. Constant return, end-of-month deposits, no fees/taxes/volatility. Qualified financial review required."
Debt-to-Income Calculator,/calc/debt-to-income,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"$6,000 income and $2,200 listed obligations; zero income; negative debt",Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: 36.67% → 36.7%; arithmetic passes. It treats rent and mortgage interchangeably and presents lender bands as universal; underwriting conventions vary by loan and geography.,Observed browser/source result and audit comparison: 36.67% → 36.7%; arithmetic passes. It treats rent and mortgage interchangeably and presents lender bands as universal; underwriting conventions vary by loan and geography.,TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,36.67% → 36.7%; arithmetic passes. It treats rent and mortgage interchangeably and presents lender bands as universal; underwriting conventions vary by loan and geography.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,25,UNKNOWN,13,14,8,UNKNOWN,FIX,P2,36.67% → 36.7%; arithmetic passes. It treats rent and mortgage interchangeably and presents lender bands as universal; underwriting conventions vary by loan and geography.,reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; 36.67% → 36.7%; arithmetic passes. It treats rent and mortgage interchangeably and presents lender bands as universal; underwriting conventions vary by loan and geography.,Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: 36.67% → 36.7%; arithmetic passes. It treats rent and mortgage interchangeably and presents lender bands as universal; underwriting conventions vary by loan and geography.",36.67% → 36.7%; arithmetic passes. It treats rent and mortgage interchangeably and presents lender bands as universal; underwriting conventions vary by loan and geography.,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,36.67% → 36.7%; arithmetic passes. It treats rent and mortgage interchangeably and presents lender bands as universal; underwriting conventions vary by loan and geography.
Net Worth Calculator,/calc/net-worth,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"assets $1,000; liabilities $250; add/remove; negatives; empty","Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: $750 → $750; sum/subtraction passes. Negative values can invert an item’s meaning, and repeated remove controls have generic accessible names.","Observed browser/source result and audit comparison: $750 → $750; sum/subtraction passes. Negative values can invert an item’s meaning, and repeated remove controls have generic accessible names.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"$750 → $750; sum/subtraction passes. Negative values can invert an item’s meaning, and repeated remove controls have generic accessible names.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,UNKNOWN,11,14,8,UNKNOWN,KEEP,P3,"$750 → $750; sum/subtraction passes. Negative values can invert an item’s meaning, and repeated remove controls have generic accessible names.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; $750 → $750; sum/subtraction passes. Negative values can invert an item’s meaning, and repeated remove controls have generic accessible names.",Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: $750 → $750; sum/subtraction passes. Negative values can invert an item’s meaning, and repeated remove controls have generic accessible names.","$750 → $750; sum/subtraction passes. Negative values can invert an item’s meaning, and repeated remove controls have generic accessible names.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,"$750 → $750; sum/subtraction passes. Negative values can invert an item’s meaning, and repeated remove controls have generic accessible names."
Sales Tax Calculator,/calc/sales-tax,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,$100 at 8%; reverse $108; 0%; state preset; local/product cases,"Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: Forward $108 → $108; reverse $100 pre-tax → $100. Presets are state base rates only and are presented as 2025 data; local, product, holiday, and nexus rules are omitted.","Observed browser/source result and audit comparison: Forward $108 → $108; reverse $100 pre-tax → $100. Presets are state base rates only and are presented as 2025 data; local, product, holiday, and nexus rules are omitted.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"Forward $108 → $108; reverse $100 pre-tax → $100. Presets are state base rates only and are presented as 2025 data; local, product, holiday, and nexus rules are omitted.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,24,UNKNOWN,14,14,6,UNKNOWN,FIX,P2,"Forward $108 → $108; reverse $100 pre-tax → $100. Presets are state base rates only and are presented as 2025 data; local, product, holiday, and nexus rules are omitted.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; Forward $108 → $108; reverse $100 pre-tax → $100. Presets are state base rates only and are presented as 2025 data; local, product, holiday, and nexus rules are omitted.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: Forward $108 → $108; reverse $100 pre-tax → $100. Presets are state base rates only and are presented as 2025 data; local, product, holiday, and nexus rules are omitted.","Forward $108 → $108; reverse $100 pre-tax → $100. Presets are state base rates only and are presented as 2025 data; local, product, holiday, and nexus rules are omitted.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,"Forward $108 → $108; reverse $100 pre-tax → $100. Presets are state base rates only and are presented as 2025 data; local, product, holiday, and nexus rules are omitted."
Amortization Calculator,/calc/amortization,calc,live,YES,YES,NO,YES,YES,CORE_DEFECT_OR_HARD_GATE,FAIL,"$300k, 6.5%, 30y, $100 extra; 0%; no extra; payoff month","$300,000 at 6.5% for 30 years plus $100/month ends near an $819.21 final payment and $621,638.68 total paid","Displayed a $1,896.20 final payment and $622,715.67 total paid",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"Final expected $819.21 → $1,896.20; total expected $621,638.68 → $622,715.67.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,14,UNKNOWN,13,14,6,UNKNOWN,FIX,P1,"Final expected $819.21 → $1,896.20; total expected $621,638.68 → $622,715.67.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; Final expected $819.21 → $1,896.20; total expected $621,638.68 → $622,715.67.",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Cap the payoff-month payment at remaining principal plus interest, then recompute total paid; add extra-payment regression coverage for final payment, interest, and payoff month","Final expected $819.21 → $1,896.20; total expected $621,638.68 → $622,715.67.",FIXED,components/tools/AmortizationCalculator.tsx; lib/p1-remediation/finance.ts,tests/p1-date-schedule.test.mjs; tests/e2e/p1-date-schedule.spec.ts,"Audit fixture final payment is $819.21, total paid $621,638.68, month 312 balance $0.00, and principal reconciles to $300,000; short and zero-rate cases pass.",KEEP as a full-precision estimator with a capped payoff row.,Lenders that round each monthly transaction to cents can differ slightly.
Car Payment Calculator,/calc/car-payment,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,standard amount/rate/term/down payment; 0%; compare Auto Loan,"Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: Core payment formula works, with the same tax/fee limitations and less capability than Auto Loan. Duplicates the same intent and should redirect/converge on Auto Loan after parity review.","Observed browser/source result and audit comparison: Core payment formula works, with the same tax/fee limitations and less capability than Auto Loan. Duplicates the same intent and should redirect/converge on Auto Loan after parity review.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"Core payment formula works, with the same tax/fee limitations and less capability than Auto Loan. Duplicates the same intent and should redirect/converge on Auto Loan after parity review.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,25,UNKNOWN,2,8,5,UNKNOWN,CONSOLIDATE,P2,"Core payment formula works, with the same tax/fee limitations and less capability than Auto Loan. Duplicates the same intent and should redirect/converge on Auto Loan after parity review.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; Core payment formula works, with the same tax/fee limitations and less capability than Auto Loan. Duplicates the same intent and should redirect/converge on Auto Loan after parity review.","Do not change the source URL yet. After GSC/backlink evidence and input/result parity, ship one direct 301 to /calc/auto-loan, remove the source from sitemap, registry, search, and internal links, and do not serve an intentional 404 or 410.","Consolidate this route into /calc/auto-loan after same payment intent with less capability is proven; retain the source until the approved 301, user migration, discovery cleanup, and rollback window are complete.","Core payment formula works, with the same tax/fee limitations and less capability than Auto Loan. Duplicates the same intent and should redirect/converge on Auto Loan after parity review.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,CONSOLIDATE,"Core payment formula works, with the same tax/fee limitations and less capability than Auto Loan. Duplicates the same intent and should redirect/converge on Auto Loan after parity review."
Paycheck Calculator,/calc/paycheck,calc,live,YES,YES,NO,YES,YES,CORE_DEFECT_OR_HARD_GATE,FAIL,"$3,000 biweekly, single, TX; $1m annualized boundary; per-period pre-tax","For $3,000 biweekly single/Texas under 2026 federal rules: $2,450.12 net per check","Displayed $2,433.04 and shares the stale thresholds/omitted Additional Medicare Tax model",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"2026 expected $2,450.12/check → $2,433.04; shares stale tables and missing Additional Medicare with Take-Home Pay.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,7,5,3,UNKNOWN,HIDE,P1,"2026 expected $2,450.12/check → $2,433.04; shares stale tables and missing Additional Medicare with Take-Home Pay.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; 2026 expected $2,450.12/check → $2,433.04; shares stale tables and missing Additional Medicare with Take-Home Pay.","Keep the route out of promotion; any noindex, sitemap, navigation, or redirect change requires a separately approved SEO release after the same sourced, current payroll engine and update policy is verified.","Hide from public discovery and promotion pending the same sourced, current payroll engine and update policy; retain only a bounded review/status path and do not present the current behavior as a user-safe result.","2026 expected $2,450.12/check → $2,433.04; shares stale tables and missing Additional Medicare with Take-Home Pay.",CONTAINED,app/calc/paycheck/page.tsx; components/tools/PaycheckCalculator.tsx; lib/tools.ts; lib/search-index.ts; lib/site-structure.ts,tests/p1-high-risk-calculators.test.mjs; tests/e2e/p1-containment.spec.ts; tests/tool-integrity-discovery.test.mjs,Stale calculator execution and tax claims were removed; direct route is noindexed and points to the IRS estimator; all discovery projections exclude it.,"HIDE until the same sourced, year-specific, jurisdiction-explicit payroll engine required by Take-Home Pay exists.","No current federal, state, or local payroll estimator remains; relaunch also needs an update/versioning policy."
Down Payment Calculator,/calc/down-payment,calc,live,YES,YES,NO,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,$400k at 20%; current savings; 0 months; <20%,"Independent formula/domain result for the tested inputs; comparison evidence uses expected → observed: $80,000 → $80,000; linear savings arithmetic passes. Savings growth is excluded and PMI message is a U.S. rule-of-thumb, not a lender quote.","Observed browser/source result and audit comparison: $80,000 → $80,000; linear savings arithmetic passes. Savings growth is excluded and PMI message is a U.S. rule-of-thumb, not a lender quote.",TRUE,PASS,UNVERIFIED,PARTIAL,Browser-local calculation; no input upload or persistence observed,No runtime service; embedded formulas/reference data require maintenance ownership,"$80,000 → $80,000; linear savings arithmetic passes. Savings growth is excluded and PMI message is a U.S. rule-of-thumb, not a lender quote.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,UNKNOWN,10,10,7,UNKNOWN,FIX,P3,"$80,000 → $80,000; linear savings arithmetic passes. Savings growth is excluded and PMI message is a U.S. rule-of-thumb, not a lender quote.","reports/audits/tool-integrity/calculators.md; tests/e2e/tool-audit/functional-smoke.spec.ts; tests/e2e/tool-audit/unit-converter-smoke.spec.ts; $80,000 → $80,000; linear savings arithmetic passes. Savings growth is excluded and PMI message is a U.S. rule-of-thumb, not a lender quote.","Do not promote this sensitive estimate; retain its current URL only while lender/PMI assumptions, input validation, and estimate-only boundaries are completed and reviewed through normal SEO governance.","Repair the public boundary and evidence for lender/PMI assumptions, input validation, and estimate-only boundaries; keep clear estimate-only limitations and regression coverage before any promotion.","$80,000 → $80,000; linear savings arithmetic passes. Savings growth is excluded and PMI message is a U.S. rule-of-thumb, not a lender quote.",NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,"$80,000 → $80,000; linear savings arithmetic passes. Savings growth is excluded and PMI message is a U.S. rule-of-thumb, not a lender quote."
